postcode,estimated_population
AB10,22671
AB10_AB99,22671
AB11,20750
AB12,27976
AB13_AB14,8063
AB15,38768
AB16,28344
AB21,24780
AB22,16118
AB23,12090
AB24,36372
AB25,18051
AB30,7632
AB31,15503
AB32,14196
AB33_AB35_AB36,8671
AB34,5736
AB37_AB38_IV32,10625
AB39,17900
AB41,21192
AB42,34833
AB43,23619
AB44_AB45,14842
AB51,37150
AB52,5294
AB53,12085
AB54,11317
AB55,9072
AB56,15199
AL1,39960
AL10,42980
AL2,23957
AL3,29432
AL4,28244
AL5,31804
AL6,11830
AL7,36407
AL8,13838
AL9,11439
B1,11014
B10,26856
B11,45761
B12,21590
B13,39103
B14,43432
B15,21656
B16,27687
B17,28558
B18,19248
B19,23564
B20,37154
B21,32194
B23,48979
B24,29364
B25,17414
B26,33744
B27,26539
B28,31004
B29,49121
B2_B3_B4,8887
B2_B3_B4_B99,8887
B30,29616
B31,55929
B32,39153
B33,36381
B34,20131
B35,9698
B36,36472
B37,37368
B37_B40,37382
B38,20931
B40_B92,37317
B42,24762
B43,30199
B44,37410
B45,31776
B46,12476
B47,10212
B48,6245
B49,10548
B5,16811
B50,6483
B6,20222
B60,28897
B61,26481
B62,24583
B63,37541
B64,17519
B65,23962
B66,24880
B67,31290
B68,32590
B69,30893
B7,11004
B70,31457
B71,32830
B72,9394
B73,22680
B74,32133
B75,26448
B76,20968
B77,56210
B78,25425
B79,23309
B8,45766
B80,7208
B9,27747
B90,48692
B91,34725
B92,37303
B93,20316
B94,7327
B95,6122
B96,5365
B97,33997
B98,49215
BA1,44066
BA10_BA7,7658
BA11,34865
BA12,29263
BA13,21188
BA14,52759
BA15,13466
BA16,13925
BA2,80821
BA20,11596
BA21,35759
BA22,18613
BA3,37232
BA4,18487
BA5,19105
BA6,13640
BA8_BA9,12327
BB1,68118
BB10,38305
BB11,23566
BB12,34427
BB18,16948
BB18_BB94,16948
BB2,61185
BB3,33129
BB4,43081
BB5,61795
BB6,14946
BB7,34848
BB8,22985
BB9,47389
BD1,7573
BD10,27312
BD11,11119
BD12,17120
BD13,26053
BD14,8353
BD15,16463
BD16,25713
BD16_BD97,25713
BD17,18360
BD17_BD98,18360
BD18,27048
BD19,23024
BD1_BD97_BD98_BD99,7575
BD2,30970
BD20,37278
BD21,26359
BD22,29897
BD23,30325
BD24,5474
BD3,34597
BD4,33178
BD5,33434
BD6,30580
BD7,36419
BD7_BD99,36421
BD8,32497
BD9,29856
BH1,25545
BH10,20219
BH11,19862
BH12,35760
BH13,8414
BH14,24859
BH15,35508
BH16,16189
BH17,22465
BH18,11861
BH19,11607
BH2,10370
BH20,21041
BH21,41932
BH22,27936
BH23,55478
BH24,24358
BH25,26399
BH3,5433
BH31,13524
BH4,9725
BH5,11379
BH6,23078
BH7,11771
BH8,29428
BH9,30773
BL0,17206
BL1,67509
