postcode,latitude,longitude
AB10,57.134805,-2.117455
AB11,57.137133,-2.093443
AB12,57.103365,-2.109934
AB13_AB14,57.106942,-2.261168
AB15,57.138575,-2.166715
AB16,57.159568,-2.156525
AB21,57.208443,-2.200934
AB22,57.186437,-2.119507
AB23,57.208406,-2.089781
AB24,57.163397,-2.108254
AB25,57.153472,-2.114219
AB30,56.845958,-2.476986
AB31,57.066964,-2.504895
AB32,57.154467,-2.315049
AB33_AB35_AB36,57.156714,-2.914243
AB34,57.092675,-2.810042
AB37_AB38_IV32,57.511473,-3.208139
AB39,56.978047,-2.216928
AB41,57.371715,-2.117104
AB42,57.501574,-1.888256
AB43,57.657784,-2.044831
AB44_AB45,57.655027,-2.553747
AB51,57.287904,-2.404888
AB52,57.342076,-2.602524
AB53,57.53439,-2.407171
AB54,57.465517,-2.756242
AB55,57.532353,-2.975847
AB56,57.67353,-2.919004
AL1,51.748665,-0.319465
AL2,51.722496,-0.330885
AL3,51.775388,-0.366536
AL4,51.771276,-0.296003
AL5,51.814548,-0.351507
AL6,51.829915,-0.199434
AL7,51.798617,-0.189271
AL8,51.803409,-0.210292
AL9,51.746863,-0.201709
AL10,51.760939,-0.23129
B1,52.479552,-1.907755
B2_B3_B4,52.484359,-1.898427
B5,52.472206,-1.896822
B6,52.502505,-1.886855
B7,52.49383,-1.874377
B8,52.490022,-1.842774
B9,52.478089,-1.852806
B10,52.470106,-1.853285
B11,52.455388,-1.859863
B12,52.460887,-1.882531
B13,52.435126,-1.882543
B14,52.418788,-1.890263
B15,52.467926,-1.923536
B16,52.475463,-1.93238
B17,52.461491,-1.962914
B18,52.491538,-1.922587
B19,52.496305,-1.906163
B20,52.513363,-1.918878
B21,52.505138,-1.936382
B23,52.527661,-1.851784
B24,52.519646,-1.828905
B25,52.461679,-1.825958
B26,52.460715,-1.792876
B27,52.445771,-1.823766
B28,52.427785,-1.843178
B29,52.437705,-1.94579
B30,52.421196,-1.928083
B31,52.409132,-1.973099
B32,52.450842,-1.994493
B33,52.480728,-1.787949
B34,52.495667,-1.781678
B35,52.51731,-1.789954
B36,52.504538,-1.779926
B37_B40,52.477887,-1.741383
B38,52.401057,-1.934014
B42,52.534622,-1.904992
B43,52.547603,-1.928246
B44,52.544991,-1.885653
B45,52.388508,-2.008505
B46,52.507103,-1.697592
B47,52.388699,-1.881181
B48,52.356855,-1.951602
B49,52.217145,-1.867673
B50,52.169645,-1.856585
B60,52.323989,-2.050277
B61,52.344056,-2.06747
B62,52.459781,-2.03713
B63,52.453069,-2.067379
B64,52.472434,-2.069085
B65,52.482828,-2.043424
B66,52.493645,-1.965873
B67,52.487641,-1.977336
B68,52.480058,-2.001833
B69,52.50281,-2.025516
B70,52.519793,-2.002695
B71,52.534792,-1.9901
B72,52.554471,-1.823641
B73,52.559273,-1.83768
B74,52.582364,-1.857331
B75,52.577845,-1.81122
B76,52.544713,-1.789954
B77,52.620221,-1.671779
B78,52.606451,-1.674865
B79,52.648069,-1.682568
B80,52.279071,-1.897271
B90,52.401432,-1.826126
B91,52.413974,-1.780697
B92,52.435312,-1.7743
B93,52.383043,-1.742192
B94,52.352915,-1.791004
B95,52.287158,-1.780538
B96,52.254933,-1.959323
B97,52.303209,-1.949766
B98,52.303708,-1.91611
BA1,51.388818,-2.360251
BA2,51.362076,-2.376347
BA3,51.285546,-2.449335
BA4,51.174504,-2.533243
BA5,51.211672,-2.654742
BA6,51.143007,-2.709214
BA10_BA7,51.100077,-2.485212
BA8_BA9,51.038269,-2.41028
BA11,51.237564,-2.326459
BA12,51.174307,-2.187358
BA13,51.263027,-2.184562
BA14,51.319063,-2.202804
BA15,51.348444,-2.262333
BA16,51.12657,-2.743242
BA20,50.939035,-2.642668
BA21,50.951146,-2.63378
BA22,50.9682,-2.637563
BB1,53.755144,-2.46573
BB2,53.741845,-2.498035
BB3,53.697803,-2.466259
BB4,53.703411,-2.291149
BB5,53.75455,-2.372222
BB6,53.803932,-2.415657
BB7,53.871933,-2.389059
BB8,53.879282,-2.168059
BB9,53.837032,-2.215807
BB10,53.799422,-2.221699
BB11,53.784755,-2.25082
BB12,53.802047,-2.288901
BB18,53.914986,-2.172604
BD1,53.797306,-1.754302
BD2,53.81415,-1.736299
BD3,53.797929,-1.729957
BD4,53.776762,-1.721678
BD5,53.779317,-1.758347
BD6,53.76494,-1.784775
BD7_BD99,53.784425,-1.78053
BD8,53.801421,-1.780645
BD9,53.811505,-1.788119
BD10,53.830862,-1.726198
BD11,53.749811,-1.679421
BD12,53.74791,-1.762428
BD13,53.787625,-1.856044
BD14,53.783289,-1.817448
BD15,53.80804,-1.835099
BD16_BD97,53.847479,-1.831955
BD17_BD98,53.844792,-1.769055
BD18,53.830362,-1.776595
BD19,53.726652,-1.714379
BD20,53.895713,-1.946132
BD21,53.864592,-1.908335
BD22,53.846893,-1.952304
BD23,53.988871,-2.052194
BD24,54.077295,-2.281469
BH1,50.72527,-1.86313
BH2,50.721907,-1.881278
BH3,50.735517,-1.880236
BH4,50.721707,-1.900512
BH5,50.725769,-1.837097
BH6,50.727673,-1.809196
BH7,50.734543,-1.834192
BH8,50.739789,-1.85393
BH9,50.749827,-1.874819
BH10,50.759081,-1.893279
BH11,50.760792,-1.920011
BH12,50.737917,-1.92504
BH13,50.710433,-1.918308
BH14,50.722249,-1.945531
BH15,50.720859,-1.98486
BH16,50.738089,-2.044312
BH17,50.745832,-1.973212
BH18,50.75705,-1.991528
BH19,50.611452,-1.96989
BH20,50.6875,-2.144737
BH21,50.818303,-1.96463
BH22,50.806143,-1.889111
BH23,50.745347,-1.758597
BH24,50.846002,-1.787798
BH25,50.752295,-1.658614
BH31,50.874823,-1.86917
BL0,53.643335,-2.316237
BL1,53.58892,-2.440717
BL2,53.587723,-2.397856
BL11_BL3,53.56626,-2.431921
BL4,53.547327,-2.403378
BL5,53.551749,-2.517262
BL6,53.591136,-2.540102
BL7,53.628206,-2.423066
BL8,53.60191,-2.32368
BL9,53.592037,-2.288868
BN1,50.837195,-0.140097
BN2_BN88,50.824518,-0.108369
BN3,50.83443,-0.17535
BN5,50.924357,-0.268126
BN45_BN6,50.926872,-0.154988
BN7,50.878318,0.002861
BN8,50.912457,0.05077
BN9,50.795301,0.026748
BN10,50.795579,0.001785
BN11,50.813734,-0.375472
BN12_BN99,50.816687,-0.4032
BN13,50.830334,-0.406356
BN14,50.83077,-0.379932
BN15_BN95,50.830007,-0.325119
BN16,50.81548,-0.498
BN17,50.815284,-0.537167
BN18,50.848843,-0.578218
BN20,50.774037,0.254866
BN21,50.772107,0.274605
BN22,50.787896,0.283443
BN23,50.798473,0.312672
BN24,50.815592,0.325726
BN25,50.775954,0.107289
BN26,50.821421,0.224828
