"Postcode_District","Merged_Postcode_District","Estimated_Population"
"AB10","AB10",22604
"AB11","AB11",21084
"AB12","AB12",27839
"AB13","AB13_AB14",7909
"AB14","AB13_AB14",7909
"AB15","AB15",38064
"AB16","AB16",28299
"AB21","AB21",24487
"AB22","AB22",16110
"AB23","AB23",12023
"AB24","AB24",36344
"AB25","AB25",18017
"AB30","AB30",7650
"AB31","AB31",15524
"AB32","AB32",14167
"AB33","AB33_AB35_AB36",8712
"AB34","AB34",5763
"AB35","AB33_AB35_AB36",8712
"AB36","AB33_AB35_AB36",8712
"AB37","AB37_AB38_IV32",10778
"AB38","AB37_AB38_IV32",10778
"AB39","AB39",17854
"AB41","AB41",21198
"AB42","AB42",34827
"AB43","AB43",23847
"AB44","AB44_AB45",14960
"AB45","AB44_AB45",14960
"AB51","AB51",36878
"AB52","AB52",5325
"AB53","AB53",12175
"AB54","AB54",11439
"AB55","AB55",9145
"AB56","AB56",15159
"AL1","AL1",39448
"AL2","AL2",23952
"AL3","AL3",29375
"AL4","AL4",28013
"AL5","AL5",31568
"AL6","AL6",11740
"AL7","AL7",36140
"AL8","AL8",13916
"AL9","AL9",11449
"AL10","AL10",42986
"B1","B1",10639
"B2","B2_B3_B4",8470
"B3","B2_B3_B4",8470
"B4","B2_B3_B4",8470
"B5","B5",16699
"B6","B6",20408
"B7","B7",11162
"B8","B8",45975
"B9","B9",27762
"B10","B10",27039
"B11","B11",45947
"B12","B12",21432
"B13","B13",39038
"B14","B14",43657
"B15","B15",21683
"B16","B16",27442
"B17","B17",28304
"B18","B18",19194
"B19","B19",23449
"B20","B20",37177
"B21","B21",32312
"B23","B23",48430
"B24","B24",29552
"B25","B25",17234
"B26","B26",33830
"B27","B27",26631
"B28","B28",31227
"B29","B29",48132
"B30","B30",29739
"B31","B31",56320
"B32","B32",39186
"B33","B33",36394
"B34","B34",20169
"B35","B35",9759
"B36","B36",36173
"B37","B37_B40",37086
"B38","B38",21025
"B40","B37_B40",37086
"B42","B42",24898
"B43","B43",30301
"B44","B44",37558
"B45","B45",31548
"B46","B46",12537
"B47","B47",10062
"B48","B48",6202
"B49","B49",10454
"B50","B50",6183
"B60","B60",28827
"B61","B61",25967
"B62","B62",24392
"B63","B63",37627
"B64","B64",17431
"B65","B65",24111
"B66","B66",24412
"B67","B67",31096
"B68","B68",32626
"B69","B69",30883
"B70","B70",31030
"B71","B71",32721
"B72","B72",9436
"B73","B73",22753
"B74","B74",32088
"B75","B75",26495
"B76","B76",21091
"B77","B77",56303
"B78","B78",25247
"B79","B79",23070
"B80","B80",7112
"B90","B90",48218
"B91","B91",34537
"B92","B92",37165
"B93","B93",20222
"B94","B94",7220
"B95","B95",6053
"B96","B96",5404
"B97","B97",33663
"B98","B98",49238
"BA1","BA1",43840
"BA2","BA2",80737
"BA3","BA3",36956
"BA4","BA4",18292
"BA5","BA5",18964
"BA6","BA6",13588
"BA7","BA10_BA7",7598
"BA8","BA8_BA9",12288
"BA9","BA8_BA9",12288
"BA10","BA10_BA7",7598
"BA11","BA11",34561
"BA12","BA12",29329
"BA13","BA13",21025
"BA14","BA14",52761
"BA15","BA15",13347
"BA16","BA16",14061
"BA20","BA20",11637
"BA21","BA21",35625
"BA22","BA22",18629
"BB1","BB1",67703
"BB2","BB2",60625
"BB3","BB3",33236
"BB4","BB4",42863
"BB5","BB5",61677
"BB6","BB6",14849
"BB7","BB7",34183
"BB8","BB8",23045
"BB9","BB9",46840
"BB10","BB10",38074
"BB11","BB11",23398
"BB12","BB12",34300
"BB18","BB18",16794
"BD1","BD1",7374
"BD2","BD2",30766
"BD3","BD3",34458
"BD4","BD4",32968
"BD5","BD5",33315
"BD6","BD6",30447
"BD7","BD7_BD99",35986
"BD8","BD8",32295
"BD9","BD9",29584
"BD10","BD10",27061
"BD11","BD11",11102
"BD12","BD12",17078
"BD13","BD13",25885
"BD14","BD14",8370
"BD15","BD15",16324
"BD16","BD16_BD97",25739
"BD17","BD17_BD98",18467
"BD18","BD18",26948
"BD19","BD19",22984
"BD20","BD20",37078
"BD21","BD21",26285
"BD22","BD22",29788
"BD23","BD23",30156
"BD24","BD24",5428
"BD97","BD16_BD97",25739
"BD98","BD17_BD98",18467
"BD99","BD7_BD99",35986
"BH1","BH1",25543
"BH2","BH2",10162
"BH3","BH3",5528
"BH4","BH4",9819
"BH5","BH5",11351
"BH6","BH6",23179
"BH7","BH7",11872
"BH8","BH8",29648
"BH9","BH9",31064
"BH10","BH10",20374
"BH11","BH11",19960
"BH12","BH12",35748
"BH13","BH13",8348
"BH14","BH14",24797
"BH15","BH15",35424
"BH16","BH16",15973
"BH17","BH17",22520
"BH18","BH18",11865
"BH19","BH19",11637
"BH20","BH20",21273
"BH21","BH21",41778
"BH22","BH22",27629
"BH23","BH23",55234
"BH24","BH24",24215
"BH25","BH25",26344
"BH31","BH31",13548
"BL0","BL0",17187
"BL1","BL1",66673
"BL2","BL2",46547
"BL3","BL11_BL3",67179
"BL4","BL4",34845
"BL5","BL5",26902
"BL6","BL6",29918
"BL7","BL7",15089
"BL8","BL8",36257
"BL9","BL9",50359
"BL11","BL11_BL3",67179
"BN1","BN1",90756
"BN2","BN2_BN88",99762
"BN3","BN3",83435
"BN5","BN5",7630
"BN6","BN45_BN6",19565
"BN7","BN7",21694
"BN8","BN8",17118
"BN9","BN9",14272
"BN10","BN10",20121
"BN11","BN11",34402
"BN12","BN12_BN99",21789
"BN13","BN13",29260
"BN14","BN14",31915
"BN15","BN15_BN95",28077
"BN16","BN16",29039
"BN17","BN17",31043
"BN18","BN18",13396
"BN20","BN20",21499
"BN21","BN21",26727
"BN22","BN22",33751
"BN23","BN23",28910
"BN24","BN24",10385
"BN25","BN25",24638
"BN26","BN26",13359
"BN27","BN27",30374
"BN41","BN41",21058
"BN42","BN42",10396
"BN43","BN43",24104
"BN44","BN44",10369
"BN45","BN45_BN6",19565
"BN88","BN2_BN88",99762
"BN95","BN15_BN95",28077
"BN99","BN12_BN99",21789
"BR1","BR1",59869
"BR2","BR2",49798
"BR3","BR3",50840
"BR4","BR4",19545
"BR5","BR5",49115
"BR6","BR6",47764
"BR7","BR7",18753
"BR8","BR8",23065
"BS1","BS1",19388
"BS2","BS2",19528
"BS3","BS3",40055
"BS4","BS4",50202
"BS5","BS5",56489
"BS6","BS6",34721
"BS7","BS7",44147
"BS8","BS8",27826
"BS9","BS9",32213
"BS10","BS10",29015
"BS11","BS11",18517
"BS13","BS13",31179
"BS14","BS14",28684
"BS15","BS15",49993
"BS16","BS16",86859
"BS20","BS20",33064
"BS21","BS21",23350
"BS22","BS22",38388
"BS23","BS23",36136
"BS24","BS24",23058
"BS25","BS25_BS29",9493
"BS26","BS26_BS28",8276
"BS27","BS27",7060
"BS28","BS26_BS28",8276
"BS29","BS25_BS29",9493
"BS30","BS30",30199
"BS31","BS31",22438
"BS32","BS32",25580
"BS34","BS34",34254
"BS35","BS35",23124
"BS36","BS36",16211
"BS37","BS37",39693
"BS39","BS39",16605
"BS40","BS40",12996
"BS41","BS41",6342
"BS48","BS48",23225
"BS49","BS49",12058
"BT1","BT1_BT3_BT7",25769
"BT2","BT12_BT2",29302
"BT3","BT1_BT3_BT7",25769
"BT4","BT4",25691
"BT5","BT5",39725
"BT6","BT6",30700
"BT7","BT1_BT3_BT7",25769
"BT8","BT8",28885
"BT9","BT9",29319
"BT10","BT10",11999
"BT11","BT11",28252
"BT12","BT12_BT2",29302
"BT13","BT13",23907
"BT14","BT14",33815
"BT15","BT15",26497
"BT16","BT16",17337
"BT17","BT17",34145
"BT18","BT18",13534
"BT19","BT19",37526
"BT20","BT20",25642
"BT21","BT21",7722
"BT22","BT22",22590
"BT23","BT23",56797
"BT24","BT24",17857
"BT25","BT25",16493
"BT26","BT26",9407
"BT27","BT27",23046
"BT28","BT28",43418
"BT29","BT29",13936
"BT30","BT30",35723
"BT31","BT31",8874
"BT32","BT32",26066
"BT33","BT33",10918
"BT34","BT34",62822
"BT35","BT35",48215
"BT36","BT36",47552
"BT37","BT37",26300
"BT38","BT38",40428
"BT39","BT39",23912
"BT40","BT40",26130
"BT41","BT41",43840
"BT42","BT42",34907
"BT43","BT43",23369
"BT44","BT44",24956
"BT45","BT45",37335
"BT46","BT46",11013
