local_authority,region,country,local_authority_population,latitude,longitude,lad20cd,gor10cd,ctry12cd,upper_tier_local_authority,local_authority_welsh,upper_tier_local_authority_welsh,region_welsh,country_welsh,0_years_age_population,1_years_age_population,2_years_age_population,3_years_age_population,4_years_age_population,5_years_age_population,6_years_age_population,7_years_age_population,8_years_age_population,9_years_age_population,10_years_age_population,11_years_age_population,12_years_age_population,13_years_age_population,14_years_age_population,15_years_age_population,16_years_age_population,17_years_age_population,18_years_age_population,19_years_age_population,20_years_age_population,21_years_age_population,22_years_age_population,23_years_age_population,24_years_age_population,25_years_age_population,26_years_age_population,27_years_age_population,28_years_age_population,29_years_age_population,30_years_age_population,31_years_age_population,32_years_age_population,33_years_age_population,34_years_age_population,35_years_age_population,36_years_age_population,37_years_age_population,38_years_age_population,39_years_age_population,40_years_age_population,41_years_age_population,42_years_age_population,43_years_age_population,44_years_age_population,45_years_age_population,46_years_age_population,47_years_age_population,48_years_age_population,49_years_age_population,50_years_age_population,51_years_age_population,52_years_age_population,53_years_age_population,54_years_age_population,55_years_age_population,56_years_age_population,57_years_age_population,58_years_age_population,59_years_age_population,60_years_age_population,61_years_age_population,62_years_age_population,63_years_age_population,64_years_age_population,65_years_age_population,66_years_age_population,67_years_age_population,68_years_age_population,69_years_age_population,70_years_age_population,71_years_age_population,72_years_age_population,73_years_age_population,74_years_age_population,75_years_age_population,76_years_age_population,77_years_age_population,78_years_age_population,79_years_age_population,80_years_age_population,81_years_age_population,82_years_age_population,83_years_age_population,84_years_age_population,85_years_age_population,86_years_age_population,87_years_age_population,88_years_age_population,89_years_age_population,90_plus_years_age_population,16_plus_years_age_population,16_minus_years_age_population
County Durham,North East,England,533149,54.68513,-1.8405,E06000047,E12000001,E92000001,County Durham,County Durham,County Durham,Gogledd Ddwyrain,Lloegr,4727,4923,5145,5326,5537,5627,5891,6059,6045,6327,6235,5837,6126,5947,5879,5646,5365,5337,5452,7548,8251,8244,7452,6748,6371,6450,6601,6793,7155,7102,6577,6039,5998,5835,6407,6374,6005,6461,6168,6187,6208,5916,5490,5286,5550,5682,5840,6474,6886,7557,7168,7544,7742,7866,7946,8102,8134,7899,7812,7423,7030,7283,7125,6835,6572,6446,6207,6299,5985,6115,6177,6309,6374,7034,5250,5161,4953,4261,3806,3488,3429,3297,3094,2926,2405,2251,1919,1623,1373,1280,4120,441872,91277
Darlington,North East,England,107402,54.53534,-1.56835,E06000005,E12000001,E92000001,Darlington,Darlington,Darlington,Gogledd Ddwyrain,Lloegr,1057,1113,1173,1119,1230,1212,1276,1332,1378,1311,1370,1350,1305,1293,1356,1247,1287,1224,1111,860,850,1038,1097,1167,1170,1216,1303,1148,1289,1385,1309,1315,1359,1343,1343,1306,1354,1223,1304,1375,1384,1395,1211,1186,1236,1319,1379,1366,1468,1537,1572,1478,1507,1540,1679,1621,1478,1588,1540,1504,1355,1412,1416,1288,1314,1175,1173,1193,1130,1147,1147,1217,1226,1359,1043,997,930,785,736,684,708,745,659,568,546,523,400,406,337,266,1031,87280,20122
Hartlepool,North East,England,93836,54.67614,-1.27018,E06000001,E12000001,E92000001,Hartlepool,Hartlepool,Hartlepool,Gogledd Ddwyrain,Lloegr,972,1008,1012,1036,1119,1055,1125,1154,1207,1233,1234,1213,1203,1180,1152,1092,1041,1072,979,942,971,947,1000,1118,1126,1177,1204,1157,1310,1274,1179,1187,1294,1286,1217,1188,1113,1102,1158,1110,1106,1060,943,970,976,980,979,1169,1172,1335,1249,1246,1276,1430,1393,1438,1376,1398,1422,1369,1228,1334,1191,1188,1090,1108,976,1065,1049,974,1034,1045,1052,1082,838,770,684,601,601,498,562,525,554,513,428,421,336,329,274,204,848,75841,17995
Middlesbrough,North East,England,141285,54.54467,-1.21099,E06000002,E12000001,E92000001,Middlesbrough,Middlesbrough,Middlesbrough,Gogledd Ddwyrain,Lloegr,1772,1811,1945,1999,1904,1952,1956,1993,1989,1950,1898,1793,1794,1744,1802,1653,1625,1549,1579,1861,1965,2091,2169,2274,2242,2120,2240,2340,2276,2148,2131,2155,2077,1789,1911,1829,1788,1742,1653,1627,1547,1487,1428,1351,1481,1511,1486,1565,1602,1756,1689,1566,1661,1674,1790,1925,1775,1786,1911,1739,1669,1677,1680,1628,1551,1487,1390,1405,1249,1241,1249,1206,1290,1339,1023,955,902,868,796,725,708,675,712,613,566,516,434,391,286,304,884,111330,29955
Northumberland,North East,England,323820,55.30037,-2.07523,E06000057,E12000001,E92000001,Northumberland,Northumberland,Northumberland,Gogledd Ddwyrain,Lloegr,2455,2765,3034,3045,3207,3070,3169,3373,3472,3522,3552,3487,3668,3363,3510,3376,3467,3266,3237,2574,2490,2642,2781,3098,3242,3191,3043,3201,3416,3435,3333,3406,3554,3401,3427,3588,3410,3411,3584,3560,3806,3796,3360,3312,3469,3583,3645,3941,4216,4656,4397,4577,4666,4903,4934,5352,5351,5241,5191,5164,5222,5192,5077,4849,4727,4522,4596,4442,4427,4503,4517,4598,4902,5069,3772,3693,3513,3117,2671,2492,2426,2308,2114,2021,1769,1661,1392,1227,1110,946,3560,271752,52068
Redcar and Cleveland,North East,England,137228,54.56752,-1.00608,E06000003,E12000001,E92000001,Redcar and Cleveland,Redcar and Cleveland,Redcar and Cleveland,Gogledd Ddwyrain,Lloegr,1286,1326,1376,1527,1439,1526,1598,1703,1700,1762,1583,1563,1611,1580,1653,1472,1496,1406,1385,1193,1233,1306,1427,1522,1513,1574,1608,1591,1789,1621,1623,1626,1620,1645,1694,1631,1555,1439,1518,1554,1533,1401,1362,1273,1430,1391,1483,1628,1783,1787,1821,1925,1885,2055,2163,2068,2055,2170,2123,1958,1942,1936,1961,1776,1757,1614,1715,1662,1594,1602,1630,1734,1732,1937,1556,1444,1373,1162,1173,1023,1029,1002,897,852,720,650,542,482,430,368,1365,112523,24705
Stockton-on-Tees,North East,England,197419,54.55691,-1.30664,E06000004,E12000001,E92000001,Stockton-on-Tees,Stockton-on-Tees,Stockton-on-Tees,Gogledd Ddwyrain,Lloegr,2001,2162,2150,2382,2382,2496,2443,2581,2690,2711,2668,2650,2664,2538,2512,2380,2360,2251,2120,1638,1520,1683,1714,2049,2213,2320,2496,2491,2804,2681,2692,2546,2644,2586,2776,2796,2705,2562,2610,2541,2588,2403,2203,2166,2252,2234,2358,2324,2710,2712,2767,2700,2790,2854,2854,2794,2794,2887,2881,2690,2607,2476,2523,2476,2220,2130,2196,2135,2055,1982,1998,1989,2093,2237,1672,1523,1533,1311,1234,1131,1109,1111,1026,924,848,780,632,609,604,496,1590,158009,39410
Gateshead,North East,England,201950,54.9312,-1.6868,E08000037,E12000001,E92000001,Gateshead,Gateshead,Gateshead,Gogledd Ddwyrain,Lloegr,1933,2000,1969,2126,2146,2228,2263,2146,2297,2444,2323,2381,2141,2276,2206,2089,2036,2197,2264,2331,2091,2115,2351,2456,2856,2762,2726,2688,2757,2711,2605,2648,2937,2733,2938,2819,2821,2866,2626,2640,2671,2524,2410,2269,2316,2297,2237,2313,2823,2816,2667,2636,2725,2929,2856,2893,2769,2941,2824,2732,2624,2560,2565,2502,2206,2212,2136,2034,1951,2006,2152,2120,2281,2433,1723,1756,1668,1432,1320,1319,1321,1334,1235,1141,943,918,789,736,632,520,1791,166982,34968
Newcastle upon Tyne,North East,England,306824,55.02101,-1.65297,E08000021,E12000001,E92000001,Newcastle upon Tyne,Newcastle upon Tyne,Newcastle upon Tyne,Gogledd Ddwyrain,Lloegr,3050,3254,3214,3338,3527,3297,3396,3576,3592,3514,3462,3315,3373,3191,3128,2878,2879,2938,3809,8537,9928,9843,8657,6809,5943,5701,5959,6056,6056,6169,5675,4859,4359,4267,4187,3717,3613,3843,3576,3358,3440,3208,2790,2826,3073,2956,2970,3087,3236,3412,3141,3255,3227,3221,3330,3348,3323,3367,3383,3101,3105,3137,3171,2821,2899,2596,2534,2445,2317,2265,2421,2367,2405,2679,1887,1779,1683,1522,1372,1283,1346,1366,1253,1203,1058,1011,897,768,700,666,2331,253719,53105
North Tyneside,North East,England,208871,55.02896,-1.50923,E08000022,E12000001,E92000001,North Tyneside,North Tyneside,North Tyneside,Gogledd Ddwyrain,Lloegr,2033,2277,2277,2281,2388,2291,2443,2386,2343,2465,2477,2437,2482,2286,2480,2313,2199,2159,2076,1724,1624,1698,2088,2250,2270,2112,2303,2396,2527,2573,2382,2640,2714,2883,2797,2862,2764,2760,2770,3050,3001,2964,2451,2480,2580,2576,2634,2752,3061,2974,2947,2909,2905,2961,3007,3190,3145,3174,2963,2841,2741,2741,2811,2608,2526,2466,2519,2463,2289,2292,2290,2300,2517,2628,1995,1798,1807,1538,1338,1161,1322,1216,1222,1050,968,906,787,708,622,511,1936,171212,37659
