local_authority,region,country,local_authority_population,latitude,longitude,lad20cd,gor10cd,ctry12cd,upper_tier_local_authority,local_authority_welsh,upper_tier_local_authority_welsh,region_welsh,country_welsh,0_years_age_population,1_years_age_population,2_years_age_population,3_years_age_population,4_years_age_population,5_years_age_population,6_years_age_population,7_years_age_population,8_years_age_population,9_years_age_population,10_years_age_population,11_years_age_population,12_years_age_population,13_years_age_population,14_years_age_population,15_years_age_population,16_years_age_population,17_years_age_population,18_years_age_population,19_years_age_population,20_years_age_population,21_years_age_population,22_years_age_population,23_years_age_population,24_years_age_population,25_years_age_population,26_years_age_population,27_years_age_population,28_years_age_population,29_years_age_population,30_years_age_population,31_years_age_population,32_years_age_population,33_years_age_population,34_years_age_population,35_years_age_population,36_years_age_population,37_years_age_population,38_years_age_population,39_years_age_population,40_years_age_population,41_years_age_population,42_years_age_population,43_years_age_population,44_years_age_population,45_years_age_population,46_years_age_population,47_years_age_population,48_years_age_population,49_years_age_population,50_years_age_population,51_years_age_population,52_years_age_population,53_years_age_population,54_years_age_population,55_years_age_population,56_years_age_population,57_years_age_population,58_years_age_population,59_years_age_population,60_years_age_population,61_years_age_population,62_years_age_population,63_years_age_population,64_years_age_population,65_years_age_population,66_years_age_population,67_years_age_population,68_years_age_population,69_years_age_population,70_years_age_population,71_years_age_population,72_years_age_population,73_years_age_population,74_years_age_population,75_years_age_population,76_years_age_population,77_years_age_population,78_years_age_population,79_years_age_population,80_years_age_population,81_years_age_population,82_years_age_population,83_years_age_population,84_years_age_population,85_years_age_population,86_years_age_population,87_years_age_population,88_years_age_population,89_years_age_population,90_plus_years_age_population,16_plus_years_age_population,16_minus_years_age_population
County Durham,North East,England,530094,54.685130,-1.840500,E06000047,E12000001,E92000001,County Durham,County Durham,County Durham,Gogledd Ddwyrain,Lloegr,4890,5085,5292,5483,5597,5826,5993,5978,6278,6197,5781,6087,5913,5861,5567,5318,5291,5031,5649,7656,8488,8102,7069,6410,6419,6533,6635,7093,7052,6514,6012,5923,5814,6296,6287,5963,6392,6183,6121,6165,5869,5466,5254,5495,5655,5848,6471,6861,7526,7127,7524,7730,7847,7974,8110,8103,7882,7804,7414,7023,7300,7117,6849,6638,6511,6245,6364,6082,6193,6254,6406,6491,7166,5402,5295,5129,4412,3974,3661,3629,3516,3308,3118,2648,2484,2159,1878,1638,1530,1229,4241,433657,96437
Darlington,North East,England,106803,54.535340,-1.568350,E06000005,E12000001,E92000001,Darlington,Darlington,Darlington,Gogledd Ddwyrain,Lloegr,1100,1152,1112,1218,1208,1257,1317,1368,1299,1351,1340,1303,1284,1347,1231,1288,1210,1144,1070,894,960,1018,1067,1137,1220,1263,1119,1296,1331,1273,1305,1364,1314,1298,1307,1352,1222,1280,1376,1361,1380,1208,1192,1229,1306,1362,1353,1463,1527,1559,1474,1490,1554,1680,1624,1492,1599,1552,1501,1363,1430,1409,1285,1303,1175,1186,1204,1145,1161,1167,1233,1230,1385,1066,1017,945,814,777,713,731,774,698,625,588,572,449,447,379,304,263,1064,85418,21385
Hartlepool,North East,England,93663,54.676140,-1.270180,E06000001,E12000001,E92000001,Hartlepool,Hartlepool,Hartlepool,Gogledd Ddwyrain,Lloegr,1006,1009,1031,1125,1058,1126,1147,1198,1223,1229,1204,1192,1184,1148,1084,1031,1053,1006,1114,963,903,941,1080,1091,1161,1197,1152,1313,1274,1167,1187,1265,1271,1204,1185,1121,1084,1146,1113,1111,1062,938,969,982,978,990,1168,1165,1319,1263,1245,1286,1428,1387,1446,1372,1405,1409,1379,1243,1326,1195,1199,1099,1115,995,1071,1056,995,1050,1070,1082,1108,847,808,720,630,637,522,596,560,598,544,461,462,384,373,317,252,230,830,74615,19048
Middlesbrough,North East,England,140980,54.544670,-1.210990,E06000002,E12000001,E92000001,Middlesbrough,Middlesbrough,Middlesbrough,Gogledd Ddwyrain,Lloegr,1802,1944,1979,1886,1972,1957,1990,1969,1958,1903,1766,1792,1743,1797,1646,1621,1522,1547,1669,1923,2051,2257,2346,2288,2176,2253,2347,2267,2104,2104,2105,2087,1807,1903,1802,1760,1730,1678,1650,1551,1486,1439,1358,1483,1537,1491,1575,1608,1762,1696,1569,1686,1688,1821,1949,1802,1803,1931,1753,1687,1699,1693,1641,1578,1495,1408,1429,1274,1277,1266,1231,1335,1400,1057,984,932,896,835,762,754,728,769,675,627,574,484,476,347,374,279,925,109733,31247
Northumberland,North East,England,322434,55.300370,-2.075230,E06000057,E12000001,E92000001,Northumberland,Northumberland,Northumberland,Gogledd Ddwyrain,Lloegr,2665,2952,2996,3146,3006,3129,3346,3406,3480,3529,3457,3647,3343,3515,3382,3444,3284,3323,3220,2641,2532,2617,2938,3212,3154,2984,3225,3409,3403,3305,3301,3505,3354,3372,3530,3384,3365,3528,3538,3766,3761,3294,3295,3426,3573,3627,3909,4170,4632,4347,4529,4608,4849,4890,5281,5291,5199,5148,5124,5152,5156,5030,4812,4714,4501,4577,4428,4451,4520,4527,4630,4945,5151,3827,3775,3591,3213,2774,2609,2534,2432,2226,2173,1895,1805,1519,1379,1248,1075,955,3524,266707,55727
Redcar and Cleveland,North East,England,137150,54.567520,-1.006080,E06000003,E12000001,E92000001,Redcar and Cleveland,Redcar and Cleveland,Redcar and Cleveland,Gogledd Ddwyrain,Lloegr,1313,1372,1508,1421,1492,1589,1692,1694,1747,1573,1548,1612,1588,1659,1470,1498,1404,1428,1411,1265,1275,1348,1474,1511,1552,1619,1584,1792,1640,1617,1637,1604,1647,1689,1621,1551,1458,1509,1538,1541,1389,1352,1265,1423,1365,1489,1613,1780,1798,1805,1939,1886,2030,2149,2060,2060,2166,2128,1944,1947,1939,1949,1774,1752,1623,1738,1679,1592,1615,1649,1766,1766,1974,1584,1481,1412,1217,1213,1077,1093,1053,956,919,787,705,603,531,487,423,393,1321,110970,26180
Stockton-on-Tees,North East,England,197348,54.556910,-1.306640,E06000004,E12000001,E92000001,Stockton-on-Tees,Stockton-on-Tees,Stockton-on-Tees,Gogledd Ddwyrain,Lloegr,2149,2131,2337,2366,2479,2418,2567,2695,2710,2654,2629,2639,2509,2480,2358,2319,2229,2179,2123,1709,1709,1644,2008,2208,2322,2448,2529,2769,2662,2694,2553,2635,2579,2770,2785,2702,2540,2584,2506,2585,2415,2196,2166,2266,2230,2370,2326,2710,2688,2758,2687,2788,2858,2866,2800,2808,2891,2891,2696,2633,2514,2562,2500,2245,2149,2217,2166,2076,2014,2049,2018,2156,2277,1689,1560,1593,1369,1285,1186,1147,1194,1093,992,918,864,692,681,664,569,463,1491,155679,41669
Gateshead,North East,England,202055,54.931200,-1.686800,E08000037,E12000001,E92000001,Gateshead,Gateshead,Gateshead,Gogledd Ddwyrain,Lloegr,2005,1981,2133,2167,2222,2260,2139,2295,2451,2313,2402,2149,2279,2205,2084,1983,2062,2257,2337,2262,2136,2169,2355,2727,2693,2686,2652,2716,2710,2558,2661,2905,2741,2974,2847,2846,2869,2642,2670,2686,2542,2416,2298,2328,2279,2229,2365,2840,2819,2680,2659,2765,2935,2859,2935,2785,2962,2854,2757,2643,2587,2587,2529,2235,2234,2164,2063,1980,2047,2181,2159,2331,2492,1774,1821,1719,1481,1390,1390,1392,1409,1331,1233,1017,1011,893,820,714,631,490,1771,164925,37130
Newcastle upon Tyne,North East,England,302820,55.021010,-1.652970,E08000021,E12000001,E92000001,Newcastle upon Tyne,Newcastle upon Tyne,Newcastle upon Tyne,Gogledd Ddwyrain,Lloegr,3244,3220,3310,3483,3269,3400,3544,3588,3517,3457,3306,3370,3172,3096,2827,2819,2890,2939,3848,8245,9950,9632,7932,6528,5998,6182,6128,6051,6222,5686,4895,4417,4281,4240,3772,3637,3853,3625,3389,3454,3240,2828,2830,3120,2970,2986,3104,3244,3426,3170,3266,3258,3259,3347,3378,3342,3376,3420,3123,3127,3167,3207,2844,2901,2631,2565,2490,2343,2308,2484,2409,2467,2751,1936,1837,1752,1607,1438,1339,1424,1438,1358,1277,1152,1111,978,846,792,755,619,2364,247308,55512
North Tyneside,North East,England,207913,55.028960,-1.509230,E08000022,E12000001,E92000001,North Tyneside,North Tyneside,North Tyneside,Gogledd Ddwyrain,Lloegr,2233,2259,2244,2386,2293,2439,2361,2348,2448,2481,2431,2463,2260,2459,2295,2193,2141,2117,2063,1705,1620,1900,2081,2190,2068,2260,2364,2429,2521,2337,2579,2651,2790,2771,2814,2743,2756,2759,3020,2990,2951,2420,2465,2564,2586,2630,2741,3075,2978,2947,2921,2906,2960,3028,3201,3165,3187,2982,2838,2750,2747,2844,2635,2541,2486,2541,2483,2300,2328,2332,2342,2555,2666,2048,1853,1851,1573,1386,1209,1411,1286,1300,1132,1062,979,864,799,713,612,592,1886,168179,39734
