local_authority,lad20cd,lad19cd,local_authority_2019,imd_average_rank,imd_rank_of_average_rank,imd_average_score,imd_rank_of_average_score
Hart,E07000089,E07000089,Hart,3284.07,317,5.544,317
Hartlepool,E06000001,E06000001,Hartlepool,22581.98,25,35.037,10
Wokingham,E06000041,E06000041,Wokingham,3651.54,316,5.846,316
Middlesbrough,E06000002,E06000002,Middlesbrough,23729.1,16,40.46,5
Redcar and Cleveland,E06000003,E06000003,Redcar and Cleveland,20348.4,62,29.792,40
Rushcliffe,E07000176,E07000176,Rushcliffe,5089.76,314,7.18,314
Stockton-on-Tees,E06000004,E06000004,Stockton-on-Tees,17541.72,113,25.79,73
Waverley,E07000216,E07000216,Waverley,5343.45,313,7.494,313
Darlington,E06000005,E06000005,Darlington,18284.63,103,25.657,77
South Northamptonshire,E07000155,E07000155,South Northamptonshire,5518.42,312,7.652,312
Halton,E06000006,E06000006,Halton,21746.16,39,32.325,23
Mid Sussex,E07000228,E07000228,Mid Sussex,5566.74,311,7.747,311
Warrington,E06000007,E06000007,Warrington,14277.87,175,18.942,148
Elmbridge,E07000207,E07000207,Elmbridge,5634.89,310,7.944,310
Blackburn with Darwen,E06000008,E06000008,Blackburn with Darwen,23819.6,14,36.013,9
Harborough,E07000131,E07000131,Harborough,5952.44,308,8.015,309
Blackpool,E06000009,E06000009,Blackpool,26765.29,1,45.039,1
Surrey Heath,E07000214,E07000214,Surrey Heath,5859.29,309,8.066,308
"Kingston upon Hull, City of",E06000010,E06000010,"Kingston upon Hull, City of",25222.75,9,40.564,4
East Hertfordshire,E07000242,E07000242,East Hertfordshire,6091.54,307,8.188,307
East Riding of Yorkshire,E06000011,E06000011,East Riding of Yorkshire,12095.08,217,15.605,202
St Albans,E07000240,E07000240,St Albans,6247.75,306,8.339,306
North East Lincolnshire,E06000012,E06000012,North East Lincolnshire,20177.27,66,31.335,29
Vale of White Horse,E07000180,E07000180,Vale of White Horse,6253.32,305,8.358,305
North Lincolnshire,E06000013,E06000013,North Lincolnshire,17200.38,120,22.096,115
Windsor and Maidenhead,E06000040,E06000040,Windsor and Maidenhead,6289.3,304,8.376,304
York,E06000014,E06000014,York,9092.16,275,11.727,267
Rutland,E06000017,E06000017,Rutland,6306.8,303,8.381,303
Derby,E06000015,E06000015,Derby,18953.77,90,26.323,67
South Oxfordshire,E07000179,E07000179,South Oxfordshire,6409.95,302,8.459,302
Leicester,E06000016,E06000016,Leicester,22857.96,22,30.877,32
South Cambridgeshire,E07000012,E07000012,South Cambridgeshire,6520.03,300,8.496,301
West Oxfordshire,E07000181,E07000181,West Oxfordshire,6502.07,301,8.684,300
Nottingham,E06000018,E06000018,Nottingham,24458.51,10,34.891,11
Epsom and Ewell,E07000208,E07000208,Epsom and Ewell,6532.14,299,8.833,299
"Herefordshire, County of",E06000019,E06000019,"Herefordshire, County of",16384.76,137,18.89,152
Fareham,E07000087,E07000087,Fareham,6777.84,298,9.019,298
Telford and Wrekin,E06000020,E06000020,Telford and Wrekin,18583.53,99,24.988,86
Uttlesford,E07000077,E07000077,Uttlesford,7386.46,295,9.258,297
Stoke-on-Trent,E06000021,E06000021,Stoke-on-Trent,23797.05,15,34.504,14
Guildford,E07000209,E07000209,Guildford,7197.45,296,9.395,296
Bath and North East Somerset,E06000022,E06000022,Bath and North East Somerset,9260.09,274,11.745,265
Richmond upon Thames,E09000027,E09000027,Richmond upon Thames,7159.19,297,9.425,295
"Bristol, City of",E06000023,E06000023,"Bristol, City of",19421.68,82,26.363,65
North Somerset,E06000024,E06000024,North Somerset,11811.57,221,15.825,196
Mole Valley,E07000210,E07000210,Mole Valley,7447.91,294,9.511,293
South Gloucestershire,E06000025,E06000025,South Gloucestershire,9595.66,267,11.66,269
Winchester,E07000094,E07000094,Winchester,7586.55,293,9.615,292
Plymouth,E06000026,E06000026,Plymouth,19859.59,72,26.619,64
Three Rivers,E07000102,E07000102,Three Rivers,7742.2,291,9.871,291
Torbay,E06000027,E06000027,Torbay,21088.82,48,28.104,48
Horsham,E07000227,E07000227,Horsham,7973.36,290,9.89,290
Swindon,E06000030,E06000030,Swindon,14382.53,171,18.622,157
West Berkshire,E06000037,E06000037,West Berkshire,7974.34,289,9.952,289
Peterborough,E06000031,E06000031,Peterborough,20858.96,53,27.821,51
Brentwood,E07000068,E07000068,Brentwood,8058.04,287,10.007,288
Luton,E06000032,E06000032,Luton,20864.04,52,25.908,70
Eastleigh,E07000086,E07000086,Eastleigh,8022.55,288,10.192,287
Southend-on-Sea,E06000033,E06000033,Southend-on-Sea,16811.88,129,22.375,110
Bracknell Forest,E06000036,E06000036,Bracknell Forest,8295.79,284,10.241,286
Thurrock,E06000034,E06000034,Thurrock,17375.69,116,20.928,128
East Hampshire,E07000085,E07000085,East Hampshire,8236.58,285,10.284,285
Medway,E06000035,E06000035,Medway,18587.91,98,23.936,93
Rochford,E07000075,E07000075,Rochford,8121.79,286,10.449,284
Ribble Valley,E07000124,E07000124,Ribble Valley,8701.15,282,10.594,283
Blaby,E07000129,E07000129,Blaby,8738.64,281,10.629,282
Reading,E06000038,E06000038,Reading,16125.74,141,19.619,141
Slough,E06000039,E06000039,Slough,19788.26,73,22.965,103
Stroud,E07000082,E07000082,Stroud,8821.99,279,10.797,280
Woking,E07000217,E07000217,Woking,8594.72,283,10.804,279
Harrogate,E07000165,E07000165,Harrogate,8918.67,278,10.897,278
Milton Keynes,E06000042,E06000042,Milton Keynes,14351,172,17.98,165
Cotswold,E07000079,E07000079,Cotswold,9348.89,272,11.061,277
Brighton and Hove,E06000043,E06000043,Brighton and Hove,16209.04,140,20.761,131
Portsmouth,E06000044,E06000044,Portsmouth,20660.69,57,26.899,59
Reigate and Banstead,E07000211,E07000211,Reigate and Banstead,9065.2,276,11.276,275
Southampton,E06000045,E06000045,Southampton,20786.7,55,26.876,61
Tunbridge Wells,E07000116,E07000116,Tunbridge Wells,9295.14,273,11.31,274
Isle of Wight,E06000046,E06000046,Isle of Wight,19454.34,80,23.294,98
Kingston upon Thames,E09000021,E09000021,Kingston upon Thames,9412.29,270,11.381,273
County Durham,E06000047,E06000047,County Durham,20206.86,65,26.793,62
East Cambridgeshire,E07000009,E07000009,East Cambridgeshire,9710.04,266,11.507,272
Cheshire East,E06000049,E06000049,Cheshire East,11380.72,228,14.475,216
North Kesteven,E07000139,E07000139,North Kesteven,9463.99,268,11.553,271
Cheshire West and Chester,E06000050,E06000050,Cheshire West and Chester,13862.96,183,18.083,161
North Hertfordshire,E07000099,E07000099,North Hertfordshire,9430.75,269,11.627,270
Shropshire,E06000051,E06000051,Shropshire,14862.2,165,17.153,174
Cornwall,E06000052,E06000052,Cornwall,19382.41,83,23.072,101
Bromsgrove,E07000234,E07000234,Bromsgrove,9402.43,271,11.697,268
Isles of Scilly,E06000053,E06000053,Isles of Scilly,10680,245,12.005,258
Wiltshire,E06000054,E06000054,Wiltshire,11265.53,231,13.447,233
Stratford-on-Avon,E07000221,E07000221,Stratford-on-Avon,10011.75,259,11.728,266
Bedford,E06000055,E06000055,Bedford,15291.14,156,18.932,150
Central Bedfordshire,E06000056,E06000056,Central Bedfordshire,9823.03,264,12.152,254
Broadland,E07000144,E07000144,Broadland,10039.9,257,11.817,264
Northumberland,E06000057,E06000057,Northumberland,16778.29,131,22.079,116
Derbyshire Dales,E07000035,E07000035,Derbyshire Dales,9811.5,265,11.895,263
"Bournemouth, Christchurch and Poole",E06000058,E06000058,"Bournemouth, Christchurch and Poole",14820.73,166,18.173,160
Tandridge,E07000215,E07000215,Tandridge,10027.63,258,11.896,262
Dorset,E06000059,E06000059,Dorset,13227.24,197,15.735,199
Test Valley,E07000093,E07000093,Test Valley,9889.99,262,11.931,261
Hambleton,E07000164,E07000164,Hambleton,10102.45,255,11.987,260
Cambridge,E07000008,E07000008,Cambridge,12582.3,205,14.855,210
Warwick,E07000222,E07000222,Warwick,9860.82,263,12.005,259
Fenland,E07000010,E07000010,Fenland,20893.92,51,25.426,80
Runnymede,E07000212,E07000212,Runnymede,10056.43,256,12.012,257
Huntingdonshire,E07000011,E07000011,Huntingdonshire,10465.87,247,12.55,248
Richmondshire,E07000166,E07000166,Richmondshire,10361.73,251,12.135,256
Tewkesbury,E07000083,E07000083,Tewkesbury,9967.03,261,12.142,255
Allerdale,E07000026,E07000026,Allerdale,17828.8,109,22.938,104
Barrow-in-Furness,E07000027,E07000027,Barrow-in-Furness,21227.03,44,31.117,31
Chelmsford,E07000070,E07000070,Chelmsford,10004.42,260,12.221,253
Carlisle,E07000028,E07000028,Carlisle,17462.98,115,21.997,117
Wealden,E07000065,E07000065,Wealden,10272.25,254,12.311,252
Copeland,E07000029,E07000029,Copeland,19550.8,78,25.012,85
Sevenoaks,E07000111,E07000111,Sevenoaks,10325.4,253,12.437,251
Eden,E07000030,E07000030,Eden,14688.07,169,16.328,186
South Lakeland,E07000031,E07000031,South Lakeland,10782.22,242,12.501,250
Melton,E07000133,E07000133,Melton,10438.04,248,12.532,249
Amber Valley,E07000032,E07000032,Amber Valley,14755.49,167,17.97,166
Bolsover,E07000033,E07000033,Bolsover,20440.76,58,25.047,84
Lichfield,E07000194,E07000194,Lichfield,10387.29,250,12.566,247
Chesterfield,E07000034,E07000034,Chesterfield,19160.68,86,24.926,87
Selby,E07000169,E07000169,Selby,10355.84,252,12.73,246
Craven,E07000163,E07000163,Craven,10849.46,239,12.76,245
