date,areaName,newCasesByPublishDate,newCasesBySpecimenDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate,newCasesPCROnlyBySpecimenDate,newLFDTests,newPCRTestsByPublishDate,newTestsByPublishDate,newVirusTests
2021-04-28,England,1829,989,14,874,101,1015631,291422,1283192,1307053
2021-04-27,England,2410,1537,111,565,861,496814,245802,672079,689745
2021-04-26,England,1752,2214,204,836,1174,937146,145243,981557,1003013
2021-04-25,England,1401,1872,287,861,724,1439964,176965,1414225,1438056
2021-04-24,England,1804,1206,165,280,761,265773,254150,456749,481111
2021-04-23,England,2277,1646,172,398,1076,440697,279684,661211,683452
2021-04-22,England,2315,1993,194,590,1209,872239,278108,1036991,1066713
2021-04-21,England,1943,2262,262,701,1299,1192983,277874,1305109,1318383
2021-04-20,England,2169,2029,264,437,1328,492176,249290,676012,691172
2021-04-19,England,2550,2366,217,796,1353,955813,134073,998671,1011005
2021-04-18,England,1495,2308,294,1092,922,1652744,155788,1631309,1633397
2021-04-17,England,1897,1356,157,241,958,259007,254866,460574,472829
2021-04-16,England,2225,1885,214,323,1348,435967,243555,631544,641432
2021-04-15,England,2171,1921,190,486,1245,783497,244304,936979,947084
2021-04-14,England,2054,2030,269,420,1341,985291,250562,1095605,1110388
2021-04-13,England,2070,2005,223,354,1428,455800,233519,632227,640753
2021-04-12,England,3222,2401,284,461,1656,800969,118481,834556,843776
2021-04-11,England,1338,2016,337,505,1174,1180407,145426,1177999,1188958
2021-04-10,England,2032,1929,195,221,1513,242787,247202,442212,454544
2021-04-09,England,2638,2365,214,275,1876,400030,266041,616831,628020
2021-04-08,England,2486,2542,258,349,1935,683397,279077,872523,886801
2021-04-07,England,2304,2630,367,320,1943,848237,254914,976636,992620
2021-04-06,England,1937,2583,332,220,2031,482912,166743,587942,596797
2021-04-05,England,2236,2193,327,237,1629,692787,97700,710539,710658
2021-04-04,England,1954,1918,375,256,1287,780971,145772,785479,795870
2021-04-03,England,2847,1994,299,146,1549,218770,178080,355051,367419
2021-04-02,England,2881,2125,275,162,1688,305663,258045,517247,528750
2021-04-01,England,3784,2865,391,282,2192,713394,256491,894525,905821
2021-03-31,England,3327,3121,584,410,2127,1080158,258483,1194346,1214133
2021-03-30,England,3384,2929,286,218,2425,300617,269072,642580,655706
2021-03-29,England,4112,3187,199,200,2788,310119,134564,925653,939255
2021-03-28,England,3153,4083,1154,1023,1906,2153646,169651,1597146,1614235
2021-03-27,England,3813,2938,439,227,2272,205315,255983,417592,436852
2021-03-26,England,5273,3616,449,374,2793,454597,253664,654514,677303
2021-03-25,England,5286,4442,582,700,3160,974366,285099,1202147,1222348
2021-03-24,England,4615,5106,811,1045,3250,1569632,319058,1728376,1754552
2021-03-23,England,4583,4333,574,548,3211,568389,276129,781572,799332
2021-03-22,England,4746,5136,733,711,3692,1071919,159576,1143274,1162680
2021-03-21,England,4459,4515,1035,976,2504,1808403,186314,1846349,1870232
2021-03-20,England,4732,3366,436,240,2690,207284,251405,410959,436135
2021-03-19,England,3809,4134,480,362,3292,646705,286415,870294,893303
2021-03-18,England,5213,4523,515,558,3450,1194150,276570,1366562,1390958
2021-03-17,England,4827,4850,638,682,3530,1381500,314961,1556840,1582926
2021-03-16,England,4391,4740,478,511,3751,1081856,283224,1264415,1280667
2021-03-15,England,4264,5438,552,740,4146,1515679,140215,1528826,1544768
2021-03-14,England,3774,3580,497,442,2641,837477,173670,926566,940675
2021-03-13,England,4539,3449,286,216,2947,181930,243181,393146,406886
2021-03-12,England,5529,4610,343,518,3749,1195646,242993,1350707,1361924
2021-03-11,England,5744,4685,334,522,3829,1393736,289885,1555552,1569685
2021-03-10,England,4863,5003,361,580,4062,1294862,323476,1488744,1504258
2021-03-09,England,4894,5211,347,552,4312,1197336,244994,1322857,1333034
2021-03-08,England,3903,5566,417,637,4512,1501959,138415,1491126,1500575
2021-03-07,England,4497,3528,272,323,2933,660581,173881,770423,782469
2021-03-06,England,5118,3698,183,213,3302,183443,254571,411384,424312
2021-03-05,England,5053,4553,190,367,3996,704341,276057,898450,911046
2021-03-04,England,5643,4789,185,469,4135,750102,270654,936467,952130
2021-03-03,England,5408,5094,243,395,4456,568560,307233,803883,820986
2021-03-02,England,5530,5683,222,383,5078,402974,262121,623321,634129
2021-03-01,England,4738,5894,252,418,5224,584100,160123,691382,702088
2021-02-28,England,5080,3952,185,225,3542,357337,184616,489905,505171
2021-02-27,England,6527,4104,96,173,3835,112713,249815,337138,352343
2021-02-26,England,7393,5665,151,319,5195,315906,267801,555513,568955
2021-02-25,England,8623,6613,207,398,6008,427979,282877,674490,686010
2021-02-24,England,8644,7291,236,410,6645,428599,302695,675562,695980
2021-02-23,England,7292,8143,236,367,7540,315210,261894,545669,558581
2021-02-22,England,9420,9853,340,570,8943,521109,148880,625903,640913
2021-02-21,England,8408,6797,297,300,6200,371060,229025,542687,565283
2021-02-20,England,8964,6888,137,290,6461,116804,267086,351540,374538
2021-02-19,England,10296,8880,229,377,8274,225180,268771,460915,483749
2021-02-18,England,10740,9904,267,424,9213,243950,282545,482967,509547
2021-02-17,England,10926,10025,328,413,9284,240197,318807,508877,538879
2021-02-16,England,9236,10813,292,464,10057,209847,257103,431987,451620
2021-02-15,England,8609,12465,387,505,11573,287496,162758,406430,430514
2021-02-14,England,9499,7532,295,254,6983,208409,197397,352340,380203
