date,areaName,newCasesByPublishDate,newCasesBySpecimenDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate,newCasesPCROnlyBySpecimenDate,newLFDTests,newPCRTestsByPublishDate,newTestsByPublishDate,newVirusTests
2021-04-28,Wales,35,0,0,0,0,0,12829,12829,12829
2021-04-27,Wales,33,33,0,0,0,0,5514,5514,5514
2021-04-26,Wales,97,54,0,0,0,0,5217,5217,5217
2021-04-25,Wales,62,32,0,0,0,0,18887,18887,18887
2021-04-24,Wales,0,38,0,0,0,0,0,0,0
2021-04-23,Wales,58,48,0,0,0,0,11548,11548,11548
2021-04-22,Wales,63,54,0,0,0,0,13126,13126,13126
2021-04-21,Wales,64,63,0,0,0,0,11954,11954,11954
2021-04-20,Wales,53,57,0,0,0,0,6315,6315,6315
2021-04-19,Wales,102,74,0,0,0,0,5472,5472,5472
2021-04-18,Wales,94,54,0,0,0,0,18774,18774,18774
2021-04-17,Wales,0,38,0,0,0,0,0,0,0
2021-04-16,Wales,48,60,0,0,0,0,12585,12585,12585
2021-04-15,Wales,105,72,0,0,0,0,10828,10828,10828
2021-04-14,Wales,62,79,0,0,0,0,13035,13035,13035
2021-04-13,Wales,69,63,0,0,0,0,6216,6216,6216
2021-04-12,Wales,50,107,0,0,0,0,5684,5684,5684
2021-04-11,Wales,53,54,0,0,0,0,8234,8234,8234
2021-04-10,Wales,130,51,0,0,0,0,7614,7614,7614
2021-04-09,Wales,114,72,0,0,0,0,16891,16891,16891
2021-04-08,Wales,82,90,0,0,0,0,14030,14030,14030
2021-04-07,Wales,82,105,0,0,0,0,8150,8150,8150
2021-04-06,Wales,126,105,0,0,0,0,5081,5081,5081
2021-04-05,Wales,189,72,0,0,0,0,10539,10539,10539
2021-04-04,Wales,0,76,0,0,0,0,0,0,0
2021-04-03,Wales,95,58,0,0,0,0,24051,24051,24051
2021-04-02,Wales,0,63,0,0,0,0,0,0,0
2021-04-01,Wales,188,94,0,0,0,0,11410,11410,11410
2021-03-31,Wales,60,108,0,0,0,0,14550,14550,14550
2021-03-30,Wales,94,137,0,0,0,0,4589,4589,4589
2021-03-29,Wales,125,123,0,0,0,0,6506,6506,6506
2021-03-28,Wales,171,103,0,0,0,0,9744,9744,9744
2021-03-27,Wales,201,87,0,0,0,0,13013,13013,13013
2021-03-26,Wales,190,152,0,0,0,0,13970,13970,13970
2021-03-25,Wales,227,199,0,0,0,0,14876,14876,14876
2021-03-24,Wales,159,190,0,0,0,0,15351,15351,15351
2021-03-23,Wales,127,163,0,0,0,0,8700,8700,8700
2021-03-22,Wales,150,198,0,0,0,0,5211,5211,5211
